individu,date,valeur
DEPT-01,2021-01-01,867
DEPT-01,2022-01-01,828
DEPT-01,2023-01-01,823
DEPT-06,2021-01-01,1000
DEPT-06,2022-01-01,986
DEPT-06,2023-01-01,990
DEPT-13,2021-01-01,1152
DEPT-13,2022-01-01,1154
DEPT-13,2023-01-01,1147
DEPT-2A,2021-01-01,1317
DEPT-2A,2022-01-01,1317
DEPT-2A,2023-01-01,1288
DEPT-33,2021-01-01,1483
DEPT-33,2022-01-01,1465
DEPT-33,2023-01-01,1410
DEPT-35,2021-01-01,1639
DEPT-35,2022-01-01,1594
DEPT-35,2023-01-01,1523
DEPT-38,2021-01-01,1776
DEPT-38,2022-01-01,1710
DEPT-38,2023-01-01,1639
DEPT-44,2021-01-01,1897
DEPT-44,2022-01-01,1823
DEPT-44,2023-01-01,1770
DEPT-59,2021-01-01,2009
DEPT-59,2022-01-01,1947
DEPT-59,2023-01-01,1919
DEPT-69,2021-01-01,2127
DEPT-69,2022-01-01,2088
DEPT-69,2023-01-01,2083
DEPT-75,2021-01-01,2260
DEPT-75,2022-01-01,2247
DEPT-75,2023-01-01,2250
DEPT-971,2021-01-01,2412
DEPT-971,2022-01-01,2414
DEPT-971,2023-01-01,2408
