Département;Période;Émissions (kt CO2e)
Ain;1er janvier 2021;867
Ain;janvier 2022;828
Ain;2023;823
Alpes-Maritimes;1er janvier 2021;1000
Alpes-Maritimes;janvier 2022;986
Alpes-Maritimes;2023;990
Bouches-du-Rhône;1er janvier 2021;1152
Bouches-du-Rhône;janvier 2022;1154
Bouches-du-Rhône;2023;1147
Corse-du-Sud;1er janvier 2021;1317
Corse-du-Sud;janvier 2022;1317
Corse-du-Sud;2023;1288
Gironde;1er janvier 2021;1483
Gironde;janvier 2022;1465
Gironde;2023;1410
Ille-et-Vilaine;1er janvier 2021;1639
Ille-et-Vilaine;janvier 2022;1594
Ille-et-Vilaine;2023;1523
Isère;1er janvier 2021;1776
Isère;janvier 2022;1710
Isère;2023;1639
Loire-Atlantique;1er janvier 2021;1897
Loire-Atlantique;janvier 2022;1823
Loire-Atlantique;2023;1770
Nord;1er janvier 2021;2009
Nord;janvier 2022;1947
Nord;2023;1919
Rhône;1er janvier 2021;2127
Rhône;janvier 2022;2088
Rhône;2023;2083
Paris;1er janvier 2021;2260
Paris;janvier 2022;2247
Paris;2023;2250
Guadeloupe;1er janvier 2021;2412
Guadeloupe;janvier 2022;2414
Guadeloupe;2023;2408
