Zone géographique;Période visée;Émissions (kt CO2 eq.);Notes internes
Var (83);janvier 2023;1850,3;
"Bouches du Rhône (13)";mars 2023;3200,7;estimation provisoire
PdD;2023;780,12;Puy-de-Dôme
75;01/2023;520,5;Paris dept
La Reunion;2023;180;DOM
"Vaucluse, 84";2023-Q1;1320;
Hte Garonne;Q1 2023;1100,55;
IDF;2023;8420,8;région
Auv-Rhône-Alpes;2023;6200;région ARA
"FRANCE METROPOLITAINE";2023;385000;total national
Mayotte;2023;42,3;DOM
Corse du sud;mars 2023;95,2;
Pyrénées-Atlantiques (64);T2 2023;920,4;
Yvelines;2023-03;1240;
SEINE ST DENIS;mars 2023;1810,7;
Bdr;2023;3250;abrégé
DEPT-13;2023-01-01;3210;publicId direct
77;01/2023;1500,5;Seine-et-Marne
Mars (planète);2023;9999;piège : pas un département
;2023;42;libellé vide
Total général;2023;420000;à ignorer (somme)
