"structure_id";"top_level_id";"structure_name";"structure_is_part_of_update_period";"structure_scorecard_frequency";"structure_is_hidden";"structure_has_correction";"structure_level";"snapshot_date"
"6763d6b0743947fe9a9c451379f0e2cc";"8debb4f5bc814757bc831f5f5c5029a7";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"b9ffa6051c8a402fbbd1ac7233a79fcf";"40f939153ea847f99c882d56976979fe";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"fa4c9416f0d24218b998e01307585087";"9e8c1ae7856e418eaa869951c8da537d";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"99b3c6e842414765b321e31de7b23a10";"bbb6e001d7e744409095ec11b5cfa72e";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"97b4a0272a464dab8303e0bb1fce73a5";"728b999f6da54c009047301b7844ca42";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"124d12e843df449eb17aa86cfb939971";"8debb4f5bc814757bc831f5f5c5029a7";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"1fdfebf599094df4b949e6fd65b692ba";"97a98820a1cb4cafa02b56fc696e2f12";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"5ef29ba03eda4608bfa3c4cb86f10fde";"983ff3c47090424b91460c619fea194b";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"9126d2f048864fcca3e617debd0c3e58";"ead88b3b5e75429c95b6564afd2be1fa";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"926e5ee555634da092560f473f8b426b";"05d4d327265d4629a6d57d1fd79174ff";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"d2e1e0a6f7e345bfb2067f75ba43695b";"e9722488f0cf42d3bc35c528b8808615";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"4efc743edab344cd852cc5ffc76591c8";"983ff3c47090424b91460c619fea194b";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"45e450f159b14bbd820ee2b5abafc9fe";"b72d3c43e6a340d7b40dca7879b73e23";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"0685c474e58e46ac9d54fbf4a5465178";"bbb6e001d7e744409095ec11b5cfa72e";"Réforme";"True";"Monthly";"False";"False";"10";"2022-10-28T23:59:59.0000000"
"2231c0fd5c3447a7b2624533b11a4924";"ead88b3b5e75429c95b6564afd2be1fa";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"00e73f2a7f934805b6382b42ae22fb42";"9e8c1ae7856e418eaa869951c8da537d";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"df52b11fa40c416e980a13c07303f78e";"9c6ffd4b8aac4633824812356637629f";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"bae3b79a04964e36b2f0779ac2b590b3";"afbd3865c7994d989c3ef4a459e91cc2";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"ec9aa64b6e2a4770bc9f927b36a52cf2";"728b999f6da54c009047301b7844ca42";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"a374e1952714473ca80e9695890e4a2d";"40f939153ea847f99c882d56976979fe";"Réforme";"True";"Monthly";"False";"False";"10";"2022-10-28T23:59:59.0000000"
"c14be5cbea7c4e9eab8a958edf1dc4cc";"ead88b3b5e75429c95b6564afd2be1fa";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"3d50f865e76548a4a828ee87a72ffc65";"ead88b3b5e75429c95b6564afd2be1fa";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"2f423613c4d84b5d92746a7e55afeae9";"728b999f6da54c009047301b7844ca42";"Réforme";"True";"Monthly";"False";"False";"10";"2022-10-28T23:59:59.0000000"
"81b483e4919a4971a011636a6c7406e1";"31c68bfda1ab484eb8ab370edfcfb008";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"4f24a546a2fd4e37b4b28d8c64290df0";"8debb4f5bc814757bc831f5f5c5029a7";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"2fcfb8b0cef44e35b0ea68aa33e4c86a";"e9722488f0cf42d3bc35c528b8808615";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"c88cabb363a749c69fe865e6ec23810b";"afbd3865c7994d989c3ef4a459e91cc2";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"a8daeb1831ec4df491b654e6c9fc0003";"983ff3c47090424b91460c619fea194b";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"e60ccbd0fec444bfab211883fe0b4a90";"e8e6433c7a3e4426914b4fee8d1d468f";"Réforme";"True";"Monthly";"False";"False";"10";"2022-10-28T23:59:59.0000000"
"5ad2a885f5274fc084b9289ee477db2a";"afbd3865c7994d989c3ef4a459e91cc2";"Département";"True";"Monthly";"False";"False";"30";"2022-10-28T23:59:59.0000000"
"4719b06e3b2a47c480eb36d44d2d2c65";"afbd3865c7994d989c3ef4a459e91cc2";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"d6394ad1f9b0430c956a0e0545771ed6";"8debb4f5bc814757bc831f5f5c5029a7";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"51f3d8f20e024b5e972f432cedcd4b15";"04e5bdee145b48e8a84cff1499ee17f5";"Ministère";"False";"";"False";"False";"0";"2022-10-28T23:59:59.0000000"
"974925f84b064b84a10edbddbd161375";"728b999f6da54c009047301b7844ca42";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
"ffea5a18651d4adc988acc6693f88210";"bbb6e001d7e744409095ec11b5cfa72e";"Jalon";"False";"";"False";"False";"3000";"2022-10-28T23:59:59.0000000"
"302482a293f3473bad6e9f92487c1ebe";"97a98820a1cb4cafa02b56fc696e2f12";"Région";"True";"Monthly";"False";"False";"20";"2022-10-28T23:59:59.0000000"
