tree_node_id;tree_node_parent_id;structure_id;maturity_id;tree_node_name;tree_node_code;tree_node_status;tree_node_last_synchronization_date;tree_node_last_update_properties_date;tree_node_last_update_scorecard_date;tree_node_last_scorecard_update_by_anybody_date;tree_node_last_update_children_date;tree_node_currency;snapshot_date
00009fcc31984b94ab196a66cdd1641a;2686d51ba4a449f4880b5ff4a7dc6cbf;926e5ee555634da092560f473f8b426b;Ongoing Département;Zone 1 / Chantier 9780;LVF-D80;Ok;;2021-11-30T15:30:16.0000000;2022-10-26T13:21:08.0000000;2022-10-26T13:21:08.0000000;2021-09-24T11:23:10.0000000;EUR;2022-10-28T23:59:59.0000000
000e66771b9a45618f63c7d29964ba65;a4212b3aaaf4475a828b108e88046837;84e17381b827401c9920b2f4c3f48b1c;Ongoing Département;Zone 1 / Chantier 5226;RTD-D46;Ok;;2022-02-28T18:16:47.0000000;2022-10-17T09:09:40.0000000;2022-10-17T09:09:40.0000000;2021-11-15T15:15:43.0000000;EUR;2022-10-28T23:59:59.0000000
0011c07fa41b4423a052156874ce7c8d;d3d150d57d054f0ab876dfa796c815fd;5ad2a885f5274fc084b9289ee477db2a;Ongoing Département;Zone 1 / Chantier 2939;RFP-D16;Ok;;2022-06-08T16:13:02.0000000;2021-03-30T11:56:16.0000000;2021-03-30T11:56:16.0000000;2021-06-22T17:19:56.0000000;EUR;2022-10-28T23:59:59.0000000
0020e9d29e1241acac9fae0673bd6af5;bc7cefd791fe452b909116bb3ec633f9;204faa6a269546eababbf72d009d6567;Ongoing Département;Zone 1 / Chantier 9994;LAH-D29;Ok;;2022-09-20T11:34:01.0000000;2022-10-21T16:01:30.0000000;2022-10-21T16:01:30.0000000;2021-11-18T18:32:55.0000000;EUR;2022-10-28T23:59:59.0000000
00212c62756940668f4bd1930c7d533a;f3ad3f2f75f14684a1f7e8c3d24454be;1c00cf7ed0c848e98ce56fe565fdd709;Ongoing Département;Zone 1 / Chantier 9550;CIE-D13;Ok;;2021-06-22T12:09:37.0000000;2022-09-26T16:07:32.0000000;2022-09-26T16:07:32.0000000;2021-06-22T12:09:37.0000000;EUR;2022-10-28T23:59:59.0000000
00231161358442a29187804668b3249d;d87fbade2a8142148336237cb3188a16;00e73f2a7f934805b6382b42ae22fb42;Ongoing Département;Zone 1 / Chantier 5522;IPA-D16;Ok;;2021-11-23T09:47:54.0000000;2022-09-01T13:37:20.0000000;2022-09-01T13:37:20.0000000;2021-11-23T09:47:54.0000000;EUR;2022-10-28T23:59:59.0000000
0024aee343ad40c882715ac8606db1c1;d0354f6cb5264efc8dec5bdb4cf694bf;3a5c981fcd2046d185949c9dbce21814;Ongoing Région;Zone 1 / Chantier 8931;VPA-R24;Ok;;2022-08-29T17:15:01.0000000;;;2022-10-06T20:36:59.0000000;EUR;2022-10-28T23:59:59.0000000
003cdf0418f249489fba450fcb7ef3d5;3835aa9f3e22454c90c74e3244798651;4d377c7748ef4b518f4133df54fb4650;Ongoing Département;Zone 1 / Chantier 3798;PDF-D61;Ok;;2021-12-10T10:29:13.0000000;2021-12-06T16:35:02.0000000;2021-12-06T16:35:02.0000000;2021-12-10T10:29:13.0000000;EUR;2022-10-28T23:59:59.0000000
0040e59c6da14c9a903cbc44299d9162;c6a49f06845843a7bd39caf1db4a4e51;00e73f2a7f934805b6382b42ae22fb42;Ongoing Département;Zone 1 / Chantier 3409;MPN-D43;Ok;;2022-09-19T18:01:35.0000000;2022-09-27T12:10:25.0000000;2022-09-27T12:10:25.0000000;2022-09-19T18:01:35.0000000;EUR;2022-10-28T23:59:59.0000000
00426c73712b410b9d4be3ec55d5f449;3f3b5d33ed264c41ac97cda839d85b6d;3a083f39879f484cb4a8ece37ad43cdc;Ongoing Région;Zone 1 / Chantier 7718;APP-R94;Ok;;2022-06-30T11:23:17.0000000;;;2022-07-29T12:01:19.0000000;EUR;2022-10-28T23:59:59.0000000
