id_pdc_local;statut_pdc;arrondissement;id_station_local;id_station_itinerance;nom_station;code_insee_commune;implantation_station;nbre_pdc;date_maj;condition_acces;adresse_station;coordonneesxy;gratuit;paiement_acte;paiement_cb;paiement_autre;reservation;observations;siren_amenageur;contact_amenageur;nom_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;tarification;id_pdc_itinerance;date_mise_en_service;accessibilite_pmr;restriction_gabarit;station_deux_roues;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;prise_type_3;num_pdl;horaires;raccordement
FR*V75*EPX04*01*1;En service;Paris centre;FR*V75*PPX04*01;FRV75PPX0401;Paris | Quai aux Fleurs 23;75104;Voirie;5;2021-09-23;Accès libre;23 Quai aux Fleurs 75004 Paris;48.854847,2.3505278;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX04011;2021-06-23;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7371345782177;24/7;Direct
FR*V75*EPX05*02*6;En service;05e Arrondissement;FR*V75*PPX05*02;FRV75PPX0502;Paris | Rue Pierre Brossolette 1;75105;Voirie;6;2021-09-23;Accès libre;1 Rue Pierre Brossolette 75005 Paris;48.84196,2.347262;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX05026;2021-06-04;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7399565753078;24/7;Direct
FR*V75*EPX04*04*6;En service;Paris centre;FR*V75*PPX04*04;FRV75PPX0404;Paris | Boulevard Bourdon 9;75104;Voirie;6;2021-09-23;Accès libre;9 Boulevard Bourdon 75004 Paris;48.848423,2.366004;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX04046;2021-05-28;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7155426841372;24/7;Direct
FR*V75*EPX05*03*2;En service;05e Arrondissement;FR*V75*PPX05*03;FRV75PPX0503;Paris | Rue Clovis  20;75105;Voirie;3;2021-09-23;Accès libre;20 Rue Clovis 75005 Paris;48.846325,2.348415;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX05032;2021-05-28;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7392040426629;24/7;Direct
FR*V75*EPX06*02*5;En service;06e Arrondissement;FR*V75*PPX06*02;FRV75PPX0602;Paris | Rue Danton 8;75106;Voirie;6;2021-09-23;Accès libre;8 Rue Danton 75006 Paris;48.85262,2.342107;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX06025;2021-05-19;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7338350123508;24/7;Direct
FR*V75*EPX05*04*1;En service;05e Arrondissement;FR*V75*PPX05*04;FRV75PPX0504;Paris | Rue Monge  99;75105;Voirie;5;2022-12-30;Accès libre;99 Rue Monge 75005 Paris;48.84116,2.352454;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX05041;2021-06-04;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7359768358199;24/7;Direct
FR*V75*EPX08*02*5;En service;08e Arrondissement;FR*V75*PPX08*02;FRV75PPX0802;Paris | Rue du Chateaubriand 19;75108;Voirie;6;2022-09-27;Accès libre;19 Rue du Chateaubriand 75008 Paris;48.873478,2.3008885;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX08025;2021-06-03;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7460491939219;24/7;Direct
FR*V75*EPX08*02*4;En service;08e Arrondissement;FR*V75*PPX08*02;FRV75PPX0802;Paris | Rue du Chateaubriand 19;75108;Voirie;6;2022-09-27;Accès libre;19 Rue du Chateaubriand 75008 Paris;48.873478,2.3008885;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX08024;2021-06-03;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7460491939219;24/7;Direct
FR*V75*EPX12*01*5;En service;12e Arrondissement;FR*V75*PPX12*01;FRV75PPX1201;Paris | Avenue du Docteur Arnold Netter 10;75112;Voirie;5;2021-09-23;Accès libre;50 Avenue du Docteur Arnold Netter 75012 Paris;48.841595,2.4050138;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX12015;2021-06-10;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7252966607871;24/7;Direct
FR*V75*EPX12*02*5;En service;12e Arrondissement;FR*V75*PPX12*02;FRV75PPX1202;Paris | Rue du Charolais 2;75112;Voirie;6;2022-09-27;Accès libre;2 Rue du Charolais 75012 Paris;48.83919,2.387853;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX12025;2021-07-01;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7260202497653;24/7;Direct
FR*V75*EPX20*02*6;En service;20e Arrondissement;FR*V75*PPX20*02;FRV75PPX2002;Paris | Rue de Belleville 265;75120;Voirie;7;2022-09-27;Accès libre;265 Rue de Belleville 75020 Paris;48.87559,2.399738;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20026;2021-07-07;Non accessible;aucune restriction;True;3;True;True;False;False;False;False;7277279198080;24/7;Direct
FR*V75*EPX01*03*5;En service;Paris centre;FR*V75*PPX01*03;FRV75PPX0103;Paris | Rue Bertin Poirée 14;75101;Voirie;6;2021-09-23;Accès libre;14 Rue Bertin Poirée 75001 Paris;48.85881,2.3449502;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX01035;2021-07-07;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7154413816670;24/7;Direct
FR*V75*EPX11*02*5;En service;11e Arrondissement;FR*V75*PPX11*02;FRV75PPX1102;Paris | Rue de la Roquette  162;75111;Voirie;7;2021-09-23;Accès libre;162 Rue de la Roquette 75011 Paris;48.858604,2.384125;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX11025;2021-07-08;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7260926086614;24/7;Direct
FR*V75*EPX09*12*2;En service;09e Arrondissement;FR*V75*PPX09*12;FRV75PPX0912;Paris | Rue Paul Escudier  2;75112;Voirie;6;2022-12-14;Accès libre;2 Rue Paul Escudier 75009 Paris;48.880642,2.3317475;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX09122;2021-06-25;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7158465915016;24/7;Direct
FR*V75*EPX11*10*1;En service;11e Arrondissement;FR*V75*PPX11*10;FRV75PPX1110;Paris | Rue Saint-Maur 36;75111;Voirie;4;2021-09-23;Accès libre;36 Rue Saint-Maur 75011 Paris;48.861534,2.3809278;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX11101;2021-06-18;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7268596130074;24/7;Direct
FR*V75*EPX12*05*2;En service;12e Arrondissement;FR*V75*PPX12*05;FRV75PPX1205;Paris | Boulevard Diderot 73;75112;Voirie;5;2021-09-23;Accès libre;73 Boulevard Diderot 75012 Paris;48.84733,2.3856323;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX12052;2021-06-18;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7292474566342;24/7;Direct
FR*V75*EPX13*02*6;En service;13e Arrondissement;FR*V75*PPX13*02;FRV75PPX1302;Paris | Rue de Chevaleret 131;75113;Voirie;7;2021-09-23;Accès libre;131 Rue de Chevaleret 75013 Paris;48.83186,2.372548;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX13026;2021-07-12;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7386685868898;24/7;Direct
