indic_id,zone_id,metric_date,metric_type,metric_value
IND-228,D01,2018-11-30,va,86
IND-228,D01,2019-11-30,va,88
IND-228,D01,2020-11-30,va,85
IND-228,D01,2021-11-30,va,88.69
IND-228,D01,2021-11-30,vc,88
IND-228,D01,2022-11-30,va,87.83
IND-228,D01,2022-11-30,vc,99
IND-228,D02,2018-11-30,va,73
IND-228,D02,2019-11-30,va,77
IND-228,D02,2020-11-30,va,73
IND-228,D02,2021-11-30,va,80.36
IND-228,D02,2021-11-30,vc,81
IND-228,D02,2022-11-30,va,78.45
IND-228,D02,2022-11-30,vc,100
IND-228,D03,2018-11-30,va,84
IND-228,D03,2019-11-30,va,86
IND-228,D03,2020-11-30,va,79
IND-228,D03,2021-11-30,va,86.25
IND-228,D03,2021-11-30,vc,82
IND-228,D03,2022-11-30,va,84.38
IND-228,D03,2022-11-30,vc,99
IND-228,D04,2018-11-30,va,85
IND-228,D04,2019-11-30,va,87
IND-228,D04,2020-11-30,va,82
IND-228,D04,2021-11-30,va,87.3
IND-228,D04,2021-11-30,vc,87
IND-228,D04,2022-11-30,va,88.76
IND-228,D04,2022-11-30,vc,99
IND-228,D05,2018-11-30,va,86
IND-228,D05,2019-11-30,va,88
IND-228,D05,2020-11-30,va,86
IND-228,D05,2021-11-30,va,89.61
IND-228,D05,2021-11-30,vc,89
IND-228,D05,2022-11-30,va,90
IND-228,D05,2022-11-30,vc,99
IND-228,D06,2018-11-30,va,83
IND-228,D06,2019-11-30,va,86
IND-228,D06,2020-11-30,va,83
IND-228,D06,2021-11-30,va,86.3
IND-228,D06,2021-11-30,vc,87
IND-228,D06,2022-11-30,va,85.44
IND-228,D06,2022-11-30,vc,99
IND-228,D07,2018-11-30,va,84
IND-228,D07,2019-11-30,va,87
IND-228,D07,2020-11-30,va,83
IND-228,D07,2021-11-30,va,86.93
IND-228,D07,2021-11-30,vc,87
IND-228,D07,2022-11-30,va,85.94
IND-228,D07,2022-11-30,vc,99
IND-228,D08,2018-11-30,va,79
IND-228,D08,2019-11-30,va,84
IND-228,D08,2020-11-30,va,80
IND-228,D08,2021-11-30,va,85.33
IND-228,D08,2021-11-30,vc,85
IND-228,D08,2022-11-30,va,83.75
IND-228,D08,2022-11-30,vc,100
IND-228,D09,2018-11-30,va,79
IND-228,D09,2019-11-30,va,82
IND-228,D09,2020-11-30,va,78
IND-228,D09,2021-11-30,va,78.74
IND-228,D09,2021-11-30,vc,82
IND-228,D09,2022-11-30,va,82.68
IND-228,D09,2022-11-30,vc,99
IND-228,D10,2018-11-30,va,80
IND-228,D10,2019-11-30,va,84
IND-228,D10,2020-11-30,va,80
IND-228,D10,2021-11-30,va,85.02
IND-228,D10,2021-11-30,vc,85
IND-228,D10,2022-11-30,va,83.72
IND-228,D10,2022-11-30,vc,100
IND-228,D11,2018-11-30,va,79
IND-228,D11,2019-11-30,va,81
IND-228,D11,2020-11-30,va,79
IND-228,D11,2021-11-30,va,82.92
IND-228,D11,2021-11-30,vc,85
IND-228,D11,2022-11-30,va,82.49
IND-228,D11,2022-11-30,vc,100
IND-228,D12,2018-11-30,va,86
IND-228,D12,2019-11-30,va,88
IND-228,D12,2020-11-30,va,87
IND-228,D12,2021-11-30,va,90.01
IND-228,D12,2021-11-30,vc,90
IND-228,D12,2022-11-30,va,89.4
IND-228,D12,2022-11-30,vc,99
IND-228,D13,2018-11-30,va,84
IND-228,D13,2019-11-30,va,86
IND-228,D13,2020-11-30,va,83
IND-228,D13,2021-11-30,va,86.8
IND-228,D13,2021-11-30,vc,87
IND-228,D13,2022-11-30,va,85.69
IND-228,D13,2022-11-30,vc,99
IND-228,D14,2018-11-30,va,83
IND-228,D14,2019-11-30,va,86
IND-228,D14,2020-11-30,va,83
IND-228,D14,2021-11-30,va,87.52
IND-228,D14,2021-11-30,vc,87
IND-228,D14,2022-11-30,va,87.95
IND-228,D14,2022-11-30,vc,100
IND-228,D15,2018-11-30,va,88
IND-228,D15,2019-11-30,va,88
IND-228,D15,2020-11-30,va,88
IND-228,D15,2021-11-30,va,89.45
IND-228,D15,2021-11-30,vc,86
IND-228,D15,2022-11-30,va,87.68
IND-228,D15,2022-11-30,vc,99
IND-228,D16,2018-11-30,va,80
IND-228,D16,2019-11-30,va,83
IND-228,D16,2020-11-30,va,80
IND-228,D16,2021-11-30,va,85.19
IND-228,D16,2021-11-30,vc,87
IND-228,D16,2022-11-30,va,83.62
IND-228,D16,2022-11-30,vc,99
IND-228,D17,2018-11-30,va,83
IND-228,D17,2019-11-30,va,86
IND-228,D17,2020-11-30,va,82
IND-228,D17,2021-11-30,va,86.91
IND-228,D17,2021-11-30,vc,87
IND-228,D17,2022-11-30,va,85.31
IND-228,D17,2022-11-30,vc,99
IND-228,D18,2018-11-30,va,85
IND-228,D18,2019-11-30,va,86
IND-228,D18,2020-11-30,va,83
IND-228,D18,2021-11-30,va,87.87
IND-228,D18,2021-11-30,vc,85
IND-228,D18,2022-11-30,va,86.23
IND-228,D18,2022-11-30,vc,99
IND-228,D19,2018-11-30,va,86
IND-228,D19,2019-11-30,va,88
IND-228,D19,2020-11-30,va,85
IND-228,D19,2021-11-30,va,88.66
IND-228,D19,2021-11-30,vc,87
IND-228,D19,2022-11-30,va,86.77
IND-228,D19,2022-11-30,vc,100
IND-228,D21,2018-11-30,va,89
IND-228,D21,2019-11-30,va,92
IND-228,D21,2020-11-30,va,89
IND-228,D21,2021-11-30,va,92.66
IND-228,D21,2021-11-30,vc,87
IND-228,D21,2022-11-30,va,92.31
IND-228,D21,2022-11-30,vc,99
IND-228,D22,2018-11-30,va,85
IND-228,D22,2019-11-30,va,89
IND-228,D22,2020-11-30,va,86
IND-228,D22,2021-11-30,va,89.23
IND-228,D22,2021-11-30,vc,86
IND-228,D22,2022-11-30,va,86.76
IND-228,D22,2022-11-30,vc,99
IND-228,D23,2018-11-30,va,80
IND-228,D23,2019-11-30,va,85
IND-228,D23,2020-11-30,va,79
IND-228,D23,2021-11-30,va,82.94
IND-228,D23,2021-11-30,vc,85
IND-228,D23,2022-11-30,va,82.9
IND-228,D23,2022-11-30,vc,92
IND-228,D24,2018-11-30,va,82
IND-228,D24,2019-11-30,va,85
IND-228,D24,2020-11-30,va,82
IND-228,D24,2021-11-30,va,85.44
IND-228,D24,2021-11-30,vc,85
IND-228,D24,2022-11-30,va,85.88
IND-228,D24,2022-11-30,vc,100
IND-228,D25,2018-11-30,va,88
IND-228,D25,2019-11-30,va,91
IND-228,D25,2020-11-30,va,88
IND-228,D25,2021-11-30,va,91.27
IND-228,D25,2021-11-30,vc,88
IND-228,D25,2022-11-30,va,90.54
IND-228,D25,2022-11-30,vc,99
IND-228,D26,2018-11-30,va,83
IND-228,D26,2019-11-30,va,88
IND-228,D26,2020-11-30,va,85
IND-228,D26,2021-11-30,va,88.43
IND-228,D26,2021-11-30,vc,84
IND-228,D26,2022-11-30,va,89.14
IND-228,D26,2022-11-30,vc,99
IND-228,D27,2018-11-30,va,80
IND-228,D27,2019-11-30,va,82
IND-228,D27,2020-11-30,va,78
IND-228,D27,2021-11-30,va,83.52
IND-228,D27,2021-11-30,vc,82
IND-228,D27,2022-11-30,va,83.63
IND-228,D27,2022-11-30,vc,99
IND-228,D28,2018-11-30,va,79
IND-228,D28,2019-11-30,va,83
IND-228,D28,2020-11-30,va,79
IND-228,D28,2021-11-30,va,83.92
IND-228,D28,2021-11-30,vc,81
IND-228,D28,2022-11-30,va,81.97
IND-228,D28,2022-11-30,vc,99
IND-228,D29,2018-11-30,va,87
IND-228,D29,2019-11-30,va,89
IND-228,D29,2020-11-30,va,88
IND-228,D29,2021-11-30,va,90.78
IND-228,D29,2021-11-30,vc,89
IND-228,D29,2022-11-30,va,89.94
IND-228,D29,2022-11-30,vc,99
IND-228,D30,2018-11-30,va,81
IND-228,D30,2019-11-30,va,83
IND-228,D30,2020-11-30,va,81
IND-228,D30,2021-11-30,va,85.2
IND-228,D30,2021-11-30,vc,85
